Bot,Humain
0,1
0,2
0,8
0,56
0,3
0,47
0,0
0,41
0,0
0,2
0,0
0,26
0,0
0,314
0,1
0,0
0,0
0,12
14,2
0,2
0,0
0,9
0,2
0,1
0,15
0,2
9,1
0,60
0,14
2,2
0,23
0,0
0,1
0,0
0,4
1,0
0,48
0,206
215,95
465,235
0,0
0,0
0,66
0,7
0,738
0,1
0,140
0,4
0,0
0,23
0,0
0,0
0,1
0,10
0,0
0,1
0,11
0,10
0,0
0,2
0,0
0,106
0,3
0,0
0,28
0,47
0,24
0,7
0,1
0,17
0,5
0,8
0,6
0,10
0,8
0,55
0,0
0,38
0,1107
0,24
5,3
0,0
0,1
0,31
0,15
0,40
2,21
0,5
0,1546
0,89
0,8
0,7
0,18
0,8
0,10
0,21
0,333
0,3
0,0
1,12
0,10
0,45
0,13
0,77
0,0
0,2
0,1
0,3
0,29
0,2
1,10
0,5
0,1
0,0
0,103
0,0
0,116
0,118
0,23
0,61
0,1
0,0
0,204
0,15
0,38
0,52
0,0
0,59
0,4
0,0
0,1
0,343
0,12
5,203
0,350
0,79
0,10
0,0
0,5
0,6
0,31
0,7
0,29
0,34
0,3
0,0
0,0
0,102
0,2
0,0
0,0
0,3
1,0
0,0
0,0
0,47
0,12
0,17
0,19
0,1
0,18
0,61
0,204
0,19
0,0
0,0
0,81
0,47
0,62
0,11
0,8
0,49
0,0
0,14
0,343
0,15
0,6
0,76
0,0
0,45
0,0
0,27
0,20
0,55
0,0
0,40
0,7
0,2
0,0
0,20
0,0
0,26
0,81
0,5
0,1
0,1
0,17
0,0
0,79
0,710
0,57
0,14
0,1
0,2
0,110
0,1
0,125
0,2
0,0
0,3
0,139
0,41
0,3
0,15
0,0
0,95
0,19
0,53
0,59
0,135
0,62
0,0
0,186
3,40
0,1
0,3
0,28
0,67
2,7
0,0
0,1
0,18
0,3
0,228
0,0
0,0
0,2
0,1
0,39
0,1
0,0
0,34
0,170
0,0
0,3
0,0
0,54
0,2
0,10
0,98
0,34
1,11
0,27
2,20
0,18
0,3
0,2
0,164
0,59
0,5
0,5
0,47
0,9
0,0
0,0
0,19
0,82
0,87
0,79
0,0
0,285
0,47
0,23
0,13
0,8
0,16
0,41
0,19
0,3
1,74
0,5
0,18
0,2
0,3
0,15
0,0
0,0
0,1
0,1
0,3
0,2
0,17
0,33
0,2
0,0
0,5
0,8
0,9
0,48
0,11
0,19
0,2
0,0
0,1
0,24
0,1
0,0
0,8
0,65
0,4
0,73
0,82
0,11
0,0
0,14
0,18
0,27
0,3
0,74
0,0
0,23
0,0
0,0
0,142
0,30
0,19
0,12
0,0
0,0
0,2
0,9
0,0
0,4
1,143
9,28
0,0
0,0
0,0
0,11
0,50
0,9
0,19
0,0
0,0
0,0
0,2
0,0
0,8
0,11
0,0
0,10
0,0
0,14
0,3
0,32
0,4
0,14
0,37
0,6
0,0
0,1
0,45
0,75
0,1
0,8
0,0
0,2
0,0
0,1
0,0
0,2
0,0
0,296
0,133
0,0
0,14
0,10
0,11
0,30
0,0
0,55
0,2
0,7
0,7
0,0
0,37
1,52
0,68
0,148
0,164
0,16
0,0
0,0
0,0
0,8
0,57
3,0
0,18
0,3
0,2
0,4
0,75
0,18
0,11
0,0
0,9
,1
,9
,4
,44
,57
,5
,7
,0
,0
,22
,10
,115
,58
,4
,27
,0
,0
,0
,0
,22
,2
,0
,0
,14
,0
,19
,4
,0
,1
,4
,28
,6
,5
,35
,0
,0
,31
,20
,8
,0
,8
,9
,0
,3
,464
,16
,0
,3
,0
,13
,2
,5
,20
,20
,31
,0
,24
,78
,1
,7
,1
,5
,27
,130
,21
,0
,21
,46
,6
,29
,6
,2
,1
,7
,0
,13
,15
,85
,0
,13
,82
,192
,5
,7
,0
,7
,0
,0
,9
,18
,0
,8
,0
,20
,22
,4
,10
,52
,8
,10
,27
,0
,3
,18
,0
,945
,14
,24
,7
,0
,21
,4
,16
,0
,53
,53
,0
,3
,13
,410
,1
,0
,14
,142
,3
,0
,16
,0
,0
,2
,3
,25
,0
,0
,3
,16
,0
,38
,0
,1
,1
,0
,0
,18
,0
,17
,16
,3
,0
,18
,0
,14
,7
,9
,29
,7
,20
,6
,0
,0
,20
,0
,2
,161
,0
,1
,0
,14
,5
,17
,1
,8
,16
,63
,1
,2
,7
,0
,285
,1
,8
,1
,11
,6
,0
,38
,1
,13
,0
,0
,0
,4
,63
,0
,41
,23
,26
,0
,2
,15
,35
,4
,187
,301
,74
,20
,4
,0
,0
,0
,39
,32
,0
,7
,0
,10
,85
,0
,0
,1
,17
,31
,6
,5
,32
,4
,8
,168
,0
,32
,29
,17
,112
,0
,38
,9
,67
,113
,15
,46
,0
,0
,3
,39
,4
,1
,4
,2
,0
,195
,22
,43
,0
,2
,1
,45
,1
,3
,0
,35
,0
,13
,0
,375
,14
,280
,498
,117
,50
,16
,0
,105
,4
,1
,313
,3
,3
,28
,37
,1
,31
,0
,48
,0
,4
,34
,18
,87
,4
,1
,113
,12
,164
,121
,3
,3
,0
,0
,1
,53
,19
,8
,0
,5
,263
,6
,5
,20
,7
,0
,1
,1
,0
,3
,21
,36
,0
,1
,0
,41
,116
,53
,11
,13
,5
,6
,8
,0
,0
,4
,11
,1
,13
,8
,0
,8
,7
,2
,4
,0
,50
,15
,0
,8
,13
,118
,4
,5
,28
,3
,18
,0
,1
,11
,5
,1
,10
,0
,13
,1
,38
,1
,36
,0
,2
,0
,84
,35
,160
,16
,22
,11
,12
,1
,0
,0
,88
,57
,9
,367
,68
,22
,0
,15
,0
,44
,5
,26
,0
,1
,0
,116
,0
,1
,0
,232
,0
,0
,0
,0
,0
,3
,11
,2
,5
,10
,1
,5
,1
,27
,22
,17
,129
,2
,11
,7
,4
,15
,0
,0
,2
,0
,5
,93
,2
,0
,0
,13
,61
,3
,5
,57
,13
,23
,0
,11
,17
,0
,0
,8
,12
,3
,3
,15
,0
,11
,11
,5
,6
,95
,1
,358
,7
,9
,2
,0
,60
,23
,112
,1
,7
,3
,0
,2
,8
,154
,24
,9
,1
,54
,50
,13
,13
,4
,6
,53
,1
,1
,44
,89
,16
,12
,190
,24
,5
,4
,1
,45
,7
,0
,23
,9
,5
,46
,27
,39
,0
,0
,38
,19
,29
,78
,16
,42
,3
,13
,35
,152
,36
,55
,4
,4
,6
,0
,0
,4
,16
,5
,1
,38
,2
,28
,33
,16
,205
,16
,12
,48
,0
,37
,19
,31
,117
,27
,71
,74
,0
,1
,37
,19
,1
,19
,46
,55
,0
,6
,0
,1
,0
,5
,0
,0
,0
,149
,4
,8
,0
,0
,11
,4
,4
,0
,0
,0
,0
,4
,2
,52
,72
,13
,16
,2
,1
,5
,2
,0
,13
,8
,1
,6
,11
,10
,43
,12
,1
,68
,0
,3
,19
,13
,3
,0
,38
,0
,0
,22
,6
,82
,41
,28
,6
,17
,174
,1
,9
,0
,0
,11
,5
,14
,0
,0
,0
,6
,6
,2
,7
,2
,34
,26
,0
,50
,19
,7
